id,category,name_ko,name_th,url,desc_th,desc_en,tags,region,district
lab_support_center,labor,외국인노동자지원센터,ศูนย์ช่วยเหลือแรงงานต่างชาติ,http://www.koreanlaw.org,ปรึกษา문제에 대한 전문상담과 무료 지원,"Free labor, legal & insurance counseling","노동,임금체불,상담,센터,권리",national,
lab_eps_topik,labor,EPS-TOPIK 시험안내,ศูนย์ข้อมูลสอบวัดระดับภาษาเกาหลี EPS-TOPIK,https://eps.hrdkorea.or.kr,정보제공 및 시험 원수 접수 안내,Korean language proficiency test info for EPS system,"토픽,한국어,시험,고용허가제,공부,배움",national,
lab_moel_call,labor,고용노동부 외국어상담 (1577-0071),สายด่วนกระทรวงแรงงานเกาหลี 1577-0071,tel:1577-0071,สายด่วนปรึกษาข้อพิพาทแรงงานและกฎหมายแรงงาน (ภาษาไทย กด 7),Ministry of Employment foreigner helpline (Thai ext. 7),"노동부,임금체불,부당해고,상담,전화",national,
rem_hanpass,finance,한패스 (Hanpass),ฮันพาส (Hanpass),https://www.hanpass.com,โอนเงินกลับไทย ค่าธรรมเนียมถูก สำหรับคนต่างชาติ,"Send money to Thailand, low fees","송금,해외송금,전자지갑,금융",national,
rem_gme,finance,GME 송금,GME (โอนเงินต่างประเทศ),https://www.gmeremit.com,บริการโอนเงินระหว่างประเทศสำหรับคนต่างชาติ,International money transfer for foreigners,"송금,해외송금,금융",national,
rem_sentbe,finance,센트비 (Sentbe),세นต์บี (Sentbe),https://www.sentbe.com,โอนเงินต่างประเทศ ค่าธรรมเนียมประหยัด,Overseas remittance with low fees,"송금,해외송금,수수료,금융",national,
rem_wirebarley,finance,와이어바알리 (WireBarley),ไวร์บาร์ลีย์ (WireBarley),https://www.wirebarley.com,โอนเงินไปได้หลายประเทศ,Multi-country money transfer,"송금,해외송금,금융",national,
tel_freet,transport,프리티 (Freet),ฟรีที (Freet · ซิมประหยัด),https://www.freet.co.kr,ซิมราคาประหยัด 오픈 폰으로 본인 개통 지원,"Budget SIM, self-registration with ARC","알뜰폰,본인개통,통신,휴대폰",national,
tel_chingu,transport,찡구모바일 (Chingu Mobile),ชิงกูโมบายล์ (Chingu Mobile),https://www.chingumobile.com,ซิมราคาประหยัด개통 서비스 지원,Multilingual budget SIM (self-registration),"알뜰폰,본인개통,다국어,통신,휴대폰",national,
seoul_snuh,medical,서울대학교병원 국제진료센터,ศูนย์การแพทย์นานาชาติ รพ. มหาวิทยาลัยโซล (SNUH),https://www.snuh.org/global/en/main.do,บริการประสานงานล่ามภาษาอังกฤษ/จีน/รัสเซียครบวงจร,English/Chinese/Russian coordination services,"병원,의사,대형병원,감기,아플때,내과,소아과,피부과,이비인후과,정형외과,산부인과,치과,한의원",seoul,종로구
seoul_severance,medical,신촌 세브란스병원 국제진료소,คลินิกสุขภาพนานาชาติ รพ. 세เวรานส์ (Shinchon),https://sev.severance.healthcare/sev-en/index.do,ศูนย์บริการทางการแพทย์ระดับสากลพร้อมทีมแพทย์เฉพาะทางช่วยเหลือต่างชาติ,High-quality international healthcare services,"병원,응급,의료,감기,아플때,내과,소아과,피부과,이비인후과,정형외과,산부인과,치과",seoul,서대문구
seoul_soonsiki,hair,순시키헤어 홍대점 (SOONSIKI),ซุนสิกิ แฮร์ ฮงแด (ร้านทำผมสไตล์ K-Beauty),https://www.soonsiki.com,ร้านทำผมที่คนต่างชาตินิยม ดีไซเนอร์สื่อสารภาษาอังกฤษได้ดี,Top foreigner-friendly K-Beauty hair salon,"미용실,머리,헤어숍,순시키,뷰티",seoul,마포구
seoul_thedays,hair,더데이즈헤어 홍대 (The Day's Hair),เดอะ เดย์ส แฮร์ ฮงแด (ดีไซเนอร์พูดภาษาอังกฤษได้ดี),https://www.instagram.com/thedayshair,ร้านทำผมยอดนิยมในฮงแด สื่อสารคล่องแคล่ว บริการละเอียด,Highly recommended English-fluent hair studio,"미용실,헤어숍,커트,뷰티",seoul,마포구
seoul_nail_nailit,nail,네일잇 홍대 (Nail It),네ลอิท ฮงแด (ร้านทำเล็บราคาประหยัดใกล้สถานี),https://map.naver.com/v5/entry/place/1987541245,ร้านทำเล็บเจลสไตล์เกาหลีราคาสบายกระเป๋า เดินทางสะดวก,Affordable gel nail salon near Hongik Univ Station,"네일샵,네일,홍대,뷰티",seoul,마포구
seoul_thai_grocery,thai_food,동대문 태국마트,ซูเปอร์มาเก็ตไทย ทงแดมุน (Thai Groceries),https://map.naver.com/v5/entry/place/21038596,เครื่องปรุงรส มาม่า ปลาร้า และวัตถุดิบอาหารไทยแท้ครบวงจร,Authentic Thai ingredients, seasonings, and imported groceries,"식당,마트,태국마트,똠양꿍,식료품",seoul,종로구
seoul_mobile_telecom,phone,이태원 프렌즈 모바일 (외국인 개통),ร้านมือถือ เฟรนด์ส โมบาย อีแทวอน (เปิดซิมคนต่างชาติ),https://map.naver.com/v5/entry/place/38596712,เปิดซิมเติมเงิน/รายเดือนด้วยพาสปอร์ตหรือบัตรต่างชาติอย่างรวดเร็ว,Foreigner-friendly mobile shop for prepaid/postpaid SIM registration,"폰가게,휴대폰,개통,선불폰,이태원",seoul,용산구
daegu_dongsan,medical,계명대학교 동산병원 국제진료센터,ศูนย์การแพทย์นานาชาติ รพ. ดงซาน (Dongsan Hospital),https://www.dsmc.or.kr,บริการแพทย์เฉพาะทางพร้อมล่าม ดูแลเคสต่างชาติตลอด 24 ชม.,Multilingual medical services with dedicated staff,"병원,치료,대형병원,감기,배탈,아플때,내과,소아과,피부과,이비인후과,정형외과,산부인과,치과",daegu,달서구
daegu_fatima,medical,대구파티마병원 국제진료센터,ศูนย์ประสานงานต่างชาติ รพ.ฟาติมา (Fatima Hospital),https://www.fatima.or.kr,ระบบการรักษาและประสานงานทางการแพทย์ครบวงจรสำหรับคนต่างชาติ,Comprehensive international patient services,"병원,응급,진료,감기,아플때,파티마,내과,소아과,피부과,이비인후과,정형외과,산부인과,치과",daegu,동구
daegu_hairbyone,hair,헤어바이원 (Hair By One),แฮร์ บาย วัน (ร้านทำผมส่วนตัว 1:1 ภาษาอังกฤษดี),https://www.instagram.com/hairbyone_daegu,ร้านทำผมระบบจองล่วงหน้า 1:1 ดีไซเนอร์สื่อสารภาษาอังกฤษได้,1-on-1 private reservation-only hair studio,"미용실,커트,헤어,뷰티",daegu,동구
daegu_kimkiryoung,hair,김기령 헤어드레싱,คิมกีรยอง แฮร์เดรสซิ่ง (ชำนาญการตัดผมชาวต่างชาติ),https://map.naver.com/v5/entry/place/13444004,มีประสบการณ์ตัดผมลูกค้าต่างชาติยาวนาน ย่านบงด็อกดง,Specialized in foreign hair textures and styling,"미용실,머리,뷰티,헤어숍",daegu,남구
daegu_thai_food_krungthep,thai_food,대구 방콕익스프레스,ร้านอาหารไทย กรุงเทพฯ (Bangkok Express),https://map.naver.com/v5/entry/place/120958612,อาหารไทยรสชาติต้นตำรับ ต้มยำกุ้ง ผัดไทย ส้มตำ ย่านดงกู,Authentic Thai restaurant in Daegu serving pad thai and somtum,"식당,맛집,태국식당,태국음식",daegu,동구
daegu_phone_smart,phone,대구 태국인 모바일샵,ร้านมือถือ แทกู โมบาย (บริการเปิดซิมต่างชาติภาษาไทย),https://map.naver.com/v5/entry/place/19835741,เปิดเบอร์มือถือ ซิมระบบเติมเงิน ดำเนินการรวดเร็วโดยพนักงานคนไทย,Mobile shop with Thai staff for SIM registration and phone sales,"폰가게,휴대폰,개통,선불폰",daegu,달서구
busan_pnuh,medical,부산대학교병원 국제진료센터,ศูนย์การแพทย์นานาชาติ รพ. มหาวิทยาลัยปูซาน (PNUH),https://www.pnuh.or.kr,ดูแลการรักษาพยาบาลและล่ามภาษาต่างประเทศสำหรับผู้พำนักฝั่งใต้,Foreign patient medical helper in Busan,"병원,응급,의료,감기,아플때,내과,소아과,피부과,이비인후과,정형외과,산부인과,치과",busan,서구
busan_salondewon,hair,살롱드원 서면점,ซาลอน เดอ วอน ซอมยอน (คอร์สออกแบบเฉพาะคนต่างชาติ),https://map.naver.com/v5/entry/place/1204689725,บริการดูแลจัดแต่งทรงผมย่านซอมยอน รองรับภาษาอังกฤษดี,English friendly hair styling clinic in Seomyeon,"미용실,헤어숍,서면,뷰티",busan,부산진구
busan_bomhair,hair,BOM 헤어 스튜디오,บอม แฮร์ สตูดิโอ (BOM Hair Gwangalli),https://map.naver.com/v5/entry/place/1063124578,ร้านทำผมสไตล์ K-Beauty ใกล้หาดควังอันลี ภาษาอังกฤษดี,K-Beauty hair shop near Gwangalli beach,"미용실,머리,광안리,뷰티",busan,수영구
busan_thai_food_pattaya,thai_food,부산 파타ยา 레스토랑,ร้านอาหารไทย พัทยา 해운대 (Pattaya Thai Food),https://map.naver.com/v5/entry/place/12035867,ต้มยำกุ้ง แกงเขียวหวาน และอาหารไทยแท้ติดหาดแฮอุนแด,Authentic Thai restaurant near Haeundae beach,"식당,맛집,태국식당,해운대",busan,해운대구
busan_phone_friend,phone,부산 다문화 모바일,ร้านมือถือ ปูซาน โมบาย (เปิดซิมพาสปอร์ต),https://map.naver.com/v5/entry/place/18395712,เปิดซิมมือถือระบบเติมเงินและรายเดือนรองรับผู้ใช้บริการชาวต่างชาติ,Multilingual phone shop in Busan for alien registration and SIM cards,"폰가게,휴대폰,개통,선불폰",busan,부산진구
